Location,Period,Value
DEU,2017-Q2,0.270798460666667
DEU,2017-Q3,0.382981366666667
DEU,2017-Q4,0.325841307666667
DEU,2018-Q1,0.554356421666667
DEU,2018-Q2,0.419047619
DEU,2018-Q3,0.311971673333333
DEU,2018-Q4,0.300080214
DEU,2019-Q1,0.066393218
DEU,2019-Q2,-0.163102871
DEU,2019-Q3,-0.544037894666667
DEU,2019-Q4,-0.373790283666667
FRA,1991-Q1,9.33433333333333
FRA,1991-Q2,8.96039264828738
FRA,1991-Q3,9.04590372670807
FRA,1991-Q4,8.81273146634703
FRA,1992-Q1,8.52980895915678
FRA,1992-Q2,8.66895502645503
FRA,1992-Q3,8.89917027417027
FRA,1992-Q4,8.25355661881978
FRA,1993-Q1,7.67409420289855
FRA,1993-Q2,7.0946228956229
FRA,1993-Q3,6.40124098124098
FRA,1993-Q4,5.93001725327812
FRA,1994-Q1,5.9948281573499
FRA,1994-Q2,7.04608133971292
FRA,1994-Q3,7.70054226475279
FRA,1994-Q4,8.11365151515152
FRA,1995-Q1,8.08627605244996
FRA,1995-Q2,7.59712433862434
FRA,1995-Q3,7.37080952380952
FRA,1995-Q4,7.08567748917749
FRA,1996-Q1,6.56056998556998
FRA,1996-Q2,6.50168170426065
FRA,1996-Q3,6.33930227743271
FRA,1996-Q4,5.8469645127311
FRA,1997-Q1,5.59704864433812
FRA,1997-Q2,5.71609098503835
FRA,1997-Q3,5.52478787878788
FRA,1997-Q4,5.49211462450593
FRA,1998-Q1,5.03187012987013
FRA,1998-Q2,4.94269841269841
FRA,1998-Q3,4.5004834054834
FRA,1998-Q4,4.08578988644206
FRA,1999-Q1,3.94415942028986
FRA,1999-Q2,4.20357864357864
FRA,1999-Q3,5.00454545454546
FRA,1999-Q4,5.28286435786436
FRA,2000-Q1,5.57095928226363
FRA,2000-Q2,5.38638047138047
FRA,2000-Q3,5.39284334023465
FRA,2000-Q4,5.22769537480064
FRA,2001-Q1,4.90306060606061
FRA,2001-Q2,5.11897053239158
FRA,2001-Q3,5.01560540184453
FRA,2001-Q4,4.72020355731225
FRA,2002-Q1,5.05460606060606
FRA,2002-Q2,5.20337301587302
FRA,2002-Q3,4.69692672062237
FRA,2002-Q4,4.4899806763285
FRA,2003-Q1,4.11139538239538
FRA,2003-Q2,3.93603174603174
FRA,2003-Q3,4.13370600414079
FRA,2003-Q4,4.34241925465839
FRA,2004-Q1,4.10589406487233
FRA,2004-Q2,4.30658585858586
FRA,2004-Q3,4.15890909090909
FRA,2004-Q4,3.82527451533973
FRA,2005-Q1,3.64192063492063
FRA,2005-Q2,3.37373881673882
FRA,2005-Q3,3.23350790513834
FRA,2005-Q4,3.38855943650794
FRA,2006-Q1,3.51251073781291
FRA,2006-Q2,3.98701057575758
FRA,2006-Q3,3.89736576949621
FRA,2006-Q4,3.7860431307815
FRA,2007-Q1,4.05405053939394
FRA,2007-Q2,4.38791497706387
FRA,2007-Q3,4.44281685421607
FRA,2007-Q4,4.32801664239651
FRA,2008-Q1,4.08284834054834
FRA,2008-Q2,4.46982683982684
FRA,2008-Q3,4.48465399542004
FRA,2008-Q4,3.89992173913043
FRA,2009-Q1,3.64238568744589
FRA,2009-Q2,3.78775243722944
FRA,2009-Q3,3.63572025305854
FRA,2009-Q4,3.52937183477634
FRA,2010-Q1,3.48371376811594
FRA,2010-Q2,3.18349952597403
FRA,2010-Q3,2.78160139393939
FRA,2010-Q4,3.01921425861095
FRA,2011-Q1,3.55190539544513
FRA,2011-Q2,3.53659622727273
FRA,2011-Q3,3.00940667130936
FRA,2011-Q4,3.18632397835498
FRA,2012-Q1,3.04987518037518
FRA,2012-Q2,2.77158314502164
FRA,2012-Q3,2.2106096972332
FRA,2012-Q4,2.11190800117884
FRA,2013-Q1,2.16025283636364
FRA,2013-Q2,1.96209664235209
FRA,2013-Q3,2.3649772562896
FRA,2013-Q4,2.33003260869565
FRA,2014-Q1,2.2629145021645
FRA,2014-Q2,1.85865714285714
FRA,2014-Q3,1.43873304473304
FRA,2014-Q4,1.10545177865613
FRA,2015-Q1,0.593410317460317
FRA,2015-Q2,0.83979126984127
FRA,2015-Q3,1.04109923028916
FRA,2015-Q4,0.893190043290043
FRA,2016-Q1,0.648156349206349
FRA,2016-Q2,0.471215728715728
FRA,2016-Q3,0.169499184390489
FRA,2016-Q4,0.582660028860029
FRA,2017-Q1,0.971799868247693
FRA,2017-Q2,0.784437710437711
FRA,2017-Q3,0.748560495441502
FRA,2017-Q4,0.734611642743221
FRA,2018-Q1,0.891965007215007
FRA,2018-Q2,0.771149206349206
FRA,2018-Q3,0.711896640316206
FRA,2018-Q4,0.761395073927682
FRA,2019-Q1,0.544128787878788
FRA,2019-Q2,0.251801515151515
FRA,2019-Q3,-0.227948374559587
FRA,2019-Q4,-0.0472219116632161
GBR,1991-Q1,10.3366666666667
GBR,1991-Q2,10.3833333333333
GBR,1991-Q3,9.98333333333333
GBR,1991-Q4,9.71666666666667
GBR,1992-Q1,9.48
GBR,1992-Q2,9.19
GBR,1992-Q3,9.19666666666666
GBR,1992-Q4,8.38666666666667
GBR,1993-Q1,7.98666666666666
GBR,1993-Q2,8
GBR,1993-Q3,7.21666666666667
GBR,1993-Q4,6.7151
GBR,1994-Q1,6.8512
GBR,1994-Q2,8.2777
GBR,1994-Q3,8.69376666666667
GBR,1994-Q4,8.66573333333334
GBR,1995-Q1,8.66146666666667
GBR,1995-Q2,8.24256666666667
GBR,1995-Q3,8.10893333333333
GBR,1995-Q4,7.78816666666667
GBR,1996-Q1,7.7532
GBR,1996-Q2,8.0671
GBR,1996-Q3,7.85106666666667
GBR,1996-Q4,7.56936666666667
GBR,1997-Q1,7.40193333333333
GBR,1997-Q2,7.31596666666667
GBR,1997-Q3,6.98953333333333
GBR,1997-Q4,6.50293333333333
GBR,1998-Q1,6.0453
GBR,1998-Q2,5.82133333333333
GBR,1998-Q3,5.51783333333333
GBR,1998-Q4,4.81936666666667
GBR,1999-Q1,4.45803333333333
GBR,1999-Q2,4.89013333333333
GBR,1999-Q3,5.49806666666667
GBR,1999-Q4,5.52786666666667
GBR,2000-Q1,5.60936666666667
GBR,2000-Q2,5.31143333333333
GBR,2000-Q3,5.3191
GBR,2000-Q4,5.076
GBR,2001-Q1,4.79163333333333
GBR,2001-Q2,5.08573333333333
GBR,2001-Q3,5.0589
GBR,2001-Q4,4.78173333333333
GBR,2002-Q1,5.0208
GBR,2002-Q2,5.20033333333333
GBR,2002-Q3,4.74976666666667
GBR,2002-Q4,4.60606666666667
GBR,2003-Q1,4.3091
GBR,2003-Q2,4.26623333333333
GBR,2003-Q3,4.575
GBR,2003-Q4,4.95603333333333
GBR,2004-Q1,4.7673
GBR,2004-Q2,5.0896
GBR,2004-Q3,5.00876666666667
GBR,2004-Q4,4.6634
GBR,2005-Q1,4.6421
GBR,2005-Q2,4.44126666666667
GBR,2005-Q3,4.27896666666667
GBR,2005-Q4,4.29323333333333
