Location,Period,Value
DEU,2006-Q1,88.6771956212919
DEU,2006-Q2,91.016963315785
DEU,2006-Q3,93.0224784824935
DEU,2006-Q4,94.5266148575248
DEU,2007-Q1,96.3984290131194
DEU,2007-Q2,97.0669340686889
DEU,2007-Q3,98.838472465948
DEU,2007-Q4,99.9415058076376
DEU,2008-Q1,101.479067435447
DEU,2008-Q2,100.175482577087
DEU,2008-Q3,99.0724492353973
DEU,2008-Q4,92.1534219102532
DEU,2009-Q1,79.9197793933316
DEU,2009-Q2,79.51867635999
DEU,2009-Q3,82.1592713294894
DEU,2009-Q4,83.6968329572992
DEU,2010-Q1,85.2009693323306
DEU,2010-Q2,90.0810562379878
DEU,2010-Q3,91.78574412969
DEU,2010-Q4,95.1951199130943
DEU,2011-Q1,96.7326815409041
DEU,2011-Q2,98.3036684214924
DEU,2011-Q3,99.6741037854099
DEU,2011-Q4,98.5710704437202
DEU,2012-Q1,98.270243168714
DEU,2012-Q2,98.0028411464861
DEU,2012-Q3,98.4373694326063
DEU,2012-Q4,96.0641764853346
DEU,2013-Q1,96.0976017381131
DEU,2013-Q2,97.568312860366
DEU,2013-Q3,98.1699674103785
DEU,2013-Q4,99.3398512576251
DEU,2014-Q1,99.8746553020807
DEU,2014-Q2,99.2395754992897
DEU,2014-Q3,99.2061502465112
DEU,2014-Q4,100.309183588201
DEU,2015-Q1,99.3732765104036
DEU,2015-Q2,100.576585610429
DEU,2015-Q3,100.175482577087
DEU,2015-Q4,99.8746553020807
DEU,2016-Q1,101.144814907663
DEU,2016-Q2,100.643436115986
DEU,2016-Q3,100.877412885435
DEU,2016-Q4,101.044539149327
DEU,2017-Q1,101.679618952118
DEU,2017-Q2,103.518007854934
DEU,2017-Q3,105.523523021643
DEU,2017-Q4,106.292303835548
DEU,2018-Q1,105.657224032757
DEU,2018-Q2,106.626556363332
DEU,2018-Q3,105.256120999415
DEU,2018-Q4,103.952536141055
DEU,2019-Q1,103.785409877162
DEU,2019-Q2,102.9497785577
DEU,2019-Q3,101.880170468789
DEU,2019-Q4,99.9749310604161
FRA,1991-Q1,93.6225531453904
FRA,1991-Q2,92.4192298397514
FRA,1991-Q3,92.2925642286314
FRA,1991-Q4,92.5725618953175
FRA,1992-Q1,92.6558945342122
FRA,1992-Q2,91.9459004508296
FRA,1992-Q3,90.5192456729527
FRA,1992-Q4,89.169256922859
FRA,1993-Q1,87.5292705894117
FRA,1993-Q2,86.4959458671178
FRA,1993-Q3,86.8159432004733
FRA,1993-Q4,86.1959483670969
FRA,1994-Q1,87.5892700894159
FRA,1994-Q2,89.7859184506796
FRA,1994-Q3,91.4492379230173
FRA,1994-Q4,93.4292214231548
FRA,1995-Q1,93.8192181731819
FRA,1995-Q2,93.6592195065041
FRA,1995-Q3,94.0458829509754
FRA,1995-Q4,93.2458896175865
FRA,1996-Q1,93.3425554787044
FRA,1996-Q2,94.0825493120891
FRA,1996-Q3,94.0158832009733
FRA,1996-Q4,94.5492120898992
FRA,1997-Q1,95.492537562187
FRA,1997-Q2,98.4591795068374
FRA,1997-Q3,100.345830451413
FRA,1997-Q4,101.995816701528
FRA,1998-Q1,102.632478062683
FRA,1998-Q2,103.80580161832
FRA,1998-Q3,103.755802034983
FRA,1998-Q4,103.655802868309
FRA,1999-Q1,103.622469812752
FRA,1999-Q2,105.30912242398
FRA,1999-Q3,106.039116340697
FRA,1999-Q4,108.615761535321
FRA,2000-Q1,109.245756285364
FRA,2000-Q2,111.049074591045
FRA,2000-Q3,111.122407313272
FRA,2000-Q4,112.819059841168
FRA,2001-Q1,113.595720035666
FRA,2001-Q2,112.412396563362
FRA,2001-Q3,112.155732035566
FRA,2001-Q4,110.325747285439
FRA,2002-Q1,111.389071757735
FRA,2002-Q2,111.395738368847
FRA,2002-Q3,110.72907725769
FRA,2002-Q4,109.329088924259
FRA,2003-Q1,110.135748868759
FRA,2003-Q2,108.282430979742
FRA,2003-Q3,108.589095090874
FRA,2003-Q4,109.332422229815
FRA,2004-Q1,110.465746118782
FRA,2004-Q2,110.649077924351
FRA,2004-Q3,110.335747202107
FRA,2004-Q4,110.969075257706
FRA,2005-Q1,110.675744368797
FRA,2005-Q2,110.622411479904
FRA,2005-Q3,110.359080340997
FRA,2005-Q4,111.339072174399
